pass_1,pass_2,numOfFlights,From,To
4942,4969,9,2017-02-09,2017-05-03
4083,4339,9,2017-01-31,2017-04-12
5787,5795,9,2017-02-24,2017-05-19
751,772,9,2017-01-02,2017-01-31
701,740,9,2017-01-02,2017-01-31
716,1053,9,2017-01-04,2017-04-12
4009,4011,9,2017-01-20,2017-03-14
4044,4066,9,2017-01-20,2017-03-14
746,1023,9,2017-01-04,2017-04-20
1046,1651,9,2017-02-01,2017-04-14
5490,6020,9,2017-03-10,2017-05-30
4942,4990,9,2017-02-09,2017-05-03
4042,4316,9,2017-01-28,2017-03-13
2062,2075,9,2017-01-09,2017-05-11
4066,4083,9,2017-01-20,2017-03-14
2509,4656,9,2017-02-04,2017-03-20
727,752,9,2017-01-02,2017-03-25
2294,3544,9,2017-01-22,2017-05-09
407,1484,9,2017-02-02,2017-03-13
4080,4083,9,2017-01-20,2017-03-14
760,772,9,2017-01-02,2017-01-31
4042,4053,9,2017-01-20,2017-03-13
1447,2550,9,2017-02-12,2017-05-10
716,751,9,2017-01-02,2017-01-31
1001,1095,9,2017-01-02,2017-01-31
716,760,9,2017-01-02,2017-01-31
975,2867,9,2017-02-04,2017-04-15
2401,3472,9,2017-02-22,2017-05-22
407,2867,9,2017-02-02,2017-03-13
813,833,9,2017-01-02,2017-05-02
2857,2906,9,2017-02-04,2017-05-19
5706,5798,9,2017-02-24,2017-05-03
2511,4053,9,2017-02-07,2017-04-24
1208,6813,9,2017-04-15,2017-05-30
2717,5494,9,2017-02-22,2017-05-03
4316,5500,9,2017-02-22,2017-05-03
7820,7872,9,2017-03-24,2017-05-29
2939,6020,9,2017-03-10,2017-05-30
5734,5771,9,2017-02-24,2017-05-03
746,760,9,2017-01-02,2017-01-31
802,831,9,2017-01-02,2017-04-21
2911,2988,9,2017-01-10,2017-04-10
1447,4441,9,2017-02-12,2017-05-10
724,772,9,2017-01-02,2017-01-31
716,772,9,2017-01-02,2017-01-31
407,2717,9,2017-02-02,2017-03-13
2759,5494,9,2017-02-22,2017-05-03
4044,4083,9,2017-01-20,2017-03-14
2759,5500,9,2017-02-22,2017-05-03
3548,3561,9,2017-01-15,2017-04-26
5720,5798,9,2017-02-24,2017-05-03
731,774,9,2017-01-02,2017-03-06
740,760,9,2017-01-02,2017-01-31
763,772,9,2017-01-02,2017-01-31
5720,5744,9,2017-02-24,2017-05-03
4012,4066,9,2017-01-20,2017-03-14
4012,4339,9,2017-01-31,2017-04-12
4011,4066,9,2017-01-20,2017-03-14
975,2969,9,2017-01-25,2017-03-13
4013,4016,9,2017-01-20,2017-03-10
2717,5443,9,2017-02-22,2017-05-03
1413,4200,9,2017-02-12,2017-05-12
4009,4066,9,2017-01-20,2017-03-14
2511,2759,9,2017-02-02,2017-03-13
4674,4969,9,2017-02-27,2017-05-09
1001,1053,9,2017-01-02,2017-01-31
53,2062,9,2017-01-10,2017-05-29
5420,5467,9,2017-02-17,2017-03-20
3937,5467,9,2017-03-10,2017-04-30
4339,4364,9,2017-01-24,2017-03-14
1337,2939,9,2017-01-25,2017-03-13
1025,1026,9,2017-01-02,2017-04-10
2717,5440,9,2017-02-22,2017-05-03
4011,4080,9,2017-01-20,2017-03-14
368,3414,9,2017-01-17,2017-05-15
407,2939,9,2017-02-04,2017-04-02
5808,5865,9,2017-02-25,2017-05-26
4016,4059,9,2017-01-20,2017-03-10
1484,2717,9,2017-02-02,2017-03-13
975,2511,9,2017-02-04,2017-04-15
5706,5788,9,2017-02-24,2017-05-09
701,772,9,2017-01-02,2017-01-31
4025,4042,9,2017-01-20,2017-03-13
2773,4674,9,2017-02-07,2017-05-03
2717,5500,9,2017-02-22,2017-05-03
1272,2501,9,2017-01-21,2017-05-16
1976,1984,9,2017-01-08,2017-03-26
716,746,9,2017-01-02,2017-01-31
750,773,9,2017-01-02,2017-04-05
2717,5491,9,2017-02-22,2017-05-03
1666,4011,9,2017-02-07,2017-05-27
374,733,9,2017-01-04,2017-03-24
2717,4373,9,2017-02-07,2017-05-03
1677,7662,8,2017-04-20,2017-05-30
2941,4009,8,2017-02-07,2017-04-12
5720,5761,8,2017-02-24,2017-05-03
1432,2857,8,2017-02-02,2017-05-06
1337,4025,8,2017-02-07,2017-04-15
719,721,8,2017-01-02,2017-02-27
2105,2106,8,2017-01-09,2017-03-24
281,3193,8,2017-01-20,2017-04-29
905,2992,8,2017-01-25,2017-04-22
4011,4339,8,2017-01-31,2017-03-14
1337,2717,8,2017-02-04,2017-03-13
407,4399,8,2017-02-07,2017-04-02
5720,5788,8,2017-02-24,2017-05-03
1884,4990,8,2017-02-27,2017-05-03
5954,5977,8,2017-03-05,2017-05-03
2294,4316,8,2017-03-10,2017-05-12
719,774,8,2017-01-02,2017-02-27
407,1337,8,2017-02-04,2017-03-13
3576,4969,8,2017-02-28,2017-05-09
752,760,8,2017-01-02,2017-01-29
4059,4080,8,2017-01-20,2017-03-03
1464,4011,8,2017-02-07,2017-04-05
407,4388,8,2017-02-07,2017-04-02
733,771,8,2017-01-02,2017-01-29
739,763,8,2017-01-02,2017-01-29
1692,2560,8,2017-01-24,2017-03-20
4632,4656,8,2017-02-02,2017-04-12
2717,2969,8,2017-02-04,2017-03-13
3503,6813,8,2017-04-17,2017-05-30
6813,7872,8,2017-04-17,2017-05-30
5482,7662,8,2017-04-20,2017-05-30
752,759,8,2017-01-02,2017-01-29
364,746,8,2017-01-04,2017-04-20
1208,2886,8,2017-02-02,2017-05-30
5706,5734,8,2017-02-24,2017-05-03
739,755,8,2017-01-02,2017-01-29
740,771,8,2017-01-02,2017-01-29
6052,6100,8,2017-03-05,2017-05-19
2279,3509,8,2017-01-28,2017-04-17
4053,4388,8,2017-01-31,2017-03-13
6855,6897,8,2017-03-15,2017-05-29
4042,4080,8,2017-01-20,2017-03-03
1484,2959,8,2017-02-04,2017-03-13
2939,4388,8,2017-02-07,2017-04-02
1012,2645,8,2017-02-10,2017-04-20
758,795,8,2017-01-02,2017-02-23
701,771,8,2017-01-02,2017-01-29
950,2993,8,2017-01-25,2017-05-03
4053,4395,8,2017-01-31,2017-03-13
2941,2959,8,2017-01-10,2017-03-03
3503,5789,8,2017-04-17,2017-05-30
771,772,8,2017-01-02,2017-01-29
1095,3440,8,2017-01-17,2017-05-12
1498,2728,8,2017-01-20,2017-04-29
997,2993,8,2017-01-25,2017-05-03
4009,4395,8,2017-01-31,2017-05-12
701,755,8,2017-01-02,2017-01-29
1484,2939,8,2017-02-04,2017-03-13
407,4042,8,2017-02-07,2017-04-02
2277,4200,8,2017-02-12,2017-05-20
5769,5788,8,2017-02-24,2017-05-03
1045,1095,8,2017-01-02,2017-05-24
928,2717,8,2017-02-04,2017-03-13
5734,5798,8,2017-02-24,2017-05-03
5720,5769,8,2017-02-24,2017-05-03
4607,4990,8,2017-02-27,2017-05-03
4607,4942,8,2017-02-27,2017-05-03
749,795,8,2017-01-02,2017-02-23
407,1371,8,2017-02-04,2017-03-13
4969,6064,8,2017-03-10,2017-05-12
1865,4942,8,2017-02-27,2017-05-03
2221,2222,8,2017-01-09,2017-04-09
733,755,8,2017-01-02,2017-01-29
385,1043,8,2017-01-03,2017-03-06
794,2911,8,2017-02-23,2017-05-15
4316,6064,8,2017-03-10,2017-05-12
746,755,8,2017-01-02,2017-01-29
2717,2783,8,2017-01-10,2017-03-03
5464,5478,8,2017-02-17,2017-04-29
1498,4933,8,2017-02-27,2017-05-22
739,771,8,2017-01-02,2017-01-29
5706,5724,8,2017-02-24,2017-05-03
3544,4674,8,2017-02-28,2017-05-09
2783,2789,8,2017-01-10,2017-03-03
1432,2776,8,2017-02-02,2017-05-06
4016,4042,8,2017-01-20,2017-03-03
4009,4399,8,2017-01-31,2017-05-12
2939,5456,8,2017-02-22,2017-05-12
4009,5414,8,2017-02-22,2017-05-12
759,771,8,2017-01-02,2017-01-29
915,975,8,2017-01-02,2017-03-03
1371,4025,8,2017-02-07,2017-04-15
625,1635,8,2017-01-24,2017-05-29
5731,5743,8,2017-02-24,2017-05-26
5766,5795,8,2017-02-24,2017-05-19
7082,8209,8,2017-04-08,2017-05-29
740,759,8,2017-01-02,2017-01-29
2137,2182,8,2017-01-09,2017-04-10
2759,2789,8,2017-01-10,2017-03-03
3679,3698,8,2017-01-15,2017-04-13
1482,2783,8,2017-02-02,2017-03-10
650,684,8,2017-01-02,2017-03-09
1464,1484,8,2017-01-04,2017-03-03
2939,2941,8,2017-01-10,2017-03-03
3971,3994,8,2017-01-19,2017-04-15
2511,2959,8,2017-02-04,2017-03-13
1272,2556,8,2017-01-21,2017-04-16
5724,5761,8,2017-02-24,2017-05-03
733,763,8,2017-01-02,2017-01-29
5724,5798,8,2017-02-24,2017-05-03
5481,6064,8,2017-03-10,2017-05-12
2294,6064,8,2017-03-10,2017-05-12
4353,4373,8,2017-01-24,2017-03-10
5769,5798,8,2017-02-24,2017-05-03
739,760,8,2017-01-02,2017-01-29
959,2993,8,2017-01-25,2017-05-03
724,759,8,2017-01-02,2017-01-29
3937,3963,8,2017-01-19,2017-05-12
1371,5423,8,2017-02-22,2017-04-22
5744,5771,8,2017-02-24,2017-05-03
733,772,8,2017-01-02,2017-01-29
364,1053,8,2017-01-03,2017-01-31
610,3123,8,2017-01-13,2017-03-17
1371,2717,8,2017-02-04,2017-03-13
4009,5426,8,2017-02-22,2017-05-12
5954,5966,8,2017-03-05,2017-05-03
7605,8190,8,2017-04-20,2017-05-30
1369,1371,8,2017-01-03,2017-04-22
1865,4990,8,2017-02-27,2017-05-03
4013,4052,8,2017-01-20,2017-03-10
1208,1677,8,2017-01-21,2017-05-30
2773,4969,8,2017-02-27,2017-05-03
1482,1484,8,2017-01-04,2017-03-03
4359,4398,8,2017-01-24,2017-05-27
1464,2941,8,2017-02-04,2017-03-14
4373,5481,8,2017-02-22,2017-05-09
5720,5724,8,2017-02-24,2017-05-03
5720,5771,8,2017-02-24,2017-05-03
5800,5912,8,2017-03-10,2017-05-09
4316,6017,8,2017-03-10,2017-05-12
1677,7605,8,2017-04-20,2017-05-30
755,760,8,2017-01-02,2017-01-29
2969,4395,8,2017-02-07,2017-04-02
6017,6063,8,2017-03-05,2017-05-09
309,385,8,2017-01-03,2017-03-06
366,739,8,2017-01-04,2017-03-04
1484,4053,8,2017-02-07,2017-04-15
1677,8190,8,2017-04-20,2017-05-30
309,1043,8,2017-01-03,2017-03-06
4339,5414,8,2017-02-22,2017-05-12
2941,4339,8,2017-02-07,2017-04-12
6870,6897,8,2017-03-15,2017-05-29
733,746,8,2017-01-02,2017-01-29
739,772,8,2017-01-02,2017-01-29
752,755,8,2017-01-02,2017-01-29
184,1817,8,2017-02-02,2017-05-03
5744,5769,8,2017-02-24,2017-05-03
5481,6017,8,2017-03-10,2017-05-12
759,763,8,2017-01-02,2017-01-29
3442,3472,8,2017-01-13,2017-04-20
4083,4364,8,2017-01-31,2017-03-14
2760,2780,8,2017-01-10,2017-04-15
4607,4969,8,2017-02-27,2017-05-03
2111,2182,8,2017-01-09,2017-04-10
928,2759,8,2017-02-04,2017-03-13
701,733,8,2017-01-02,2017-01-29
721,774,8,2017-01-02,2017-02-27
4017,4052,8,2017-01-20,2017-03-10
5964,5993,8,2017-03-05,2017-05-03
368,772,8,2017-01-04,2017-04-10
1608,1616,8,2017-01-07,2017-03-31
2959,4042,8,2017-02-07,2017-04-02
2511,2969,8,2017-02-04,2017-03-13
1208,3503,8,2017-04-17,2017-05-30
4609,4646,8,2017-02-02,2017-03-20
6017,6039,8,2017-03-05,2017-05-09
822,4556,8,2017-03-22,2017-05-29
226,624,8,2017-01-13,2017-03-25
4052,4059,8,2017-01-20,2017-03-10
5744,5788,8,2017-02-24,2017-05-03
752,772,8,2017-01-02,2017-01-29
727,733,8,2017-01-02,2017-03-24
7820,7868,8,2017-03-24,2017-05-19
5789,7872,8,2017-04-17,2017-05-30
610,650,8,2017-01-02,2017-03-09
930,1314,8,2017-01-25,2017-03-10
5766,5787,8,2017-02-24,2017-05-19
4674,4942,8,2017-02-27,2017-05-03
750,755,8,2017-01-02,2017-04-15
739,759,8,2017-01-02,2017-01-29
2221,2263,8,2017-01-09,2017-04-09
2573,2600,8,2017-01-10,2017-02-17
247,3188,8,2017-01-20,2017-05-12
4614,4682,8,2017-02-02,2017-04-02
4339,5426,8,2017-02-22,2017-05-12
419,2488,8,2017-03-03,2017-05-24
4016,4017,8,2017-01-20,2017-03-10
975,2759,8,2017-02-04,2017-03-13
2759,2969,8,2017-02-04,2017-03-13
4384,7508,8,2017-03-27,2017-05-27
7662,8190,8,2017-04-20,2017-05-30
733,740,8,2017-01-02,2017-01-29
4012,4059,8,2017-01-20,2017-03-03
286,292,8,2017-01-20,2017-05-20
2111,2137,8,2017-01-09,2017-04-10
2972,2988,8,2017-01-10,2017-03-26
5789,7866,8,2017-04-17,2017-05-30
716,759,8,2017-01-02,2017-01-29
751,752,8,2017-01-02,2017-01-29
768,772,8,2017-01-02,2017-05-02
2901,2910,8,2017-01-10,2017-04-22
2941,2969,8,2017-01-10,2017-03-03
4069,4346,8,2017-01-31,2017-03-20
3544,4969,8,2017-02-28,2017-05-09
368,1053,8,2017-01-03,2017-01-31
2667,2699,8,2017-01-10,2017-02-17
739,746,8,2017-01-02,2017-01-29
2717,2939,8,2017-02-04,2017-03-13
4017,4059,8,2017-01-20,2017-03-10
1023,1056,8,2017-01-02,2017-01-29
3609,3615,8,2017-01-15,2017-05-08
625,1646,8,2017-01-21,2017-05-19
2620,2645,8,2017-01-10,2017-04-29
4012,4042,8,2017-01-20,2017-03-03
443,1692,8,2017-01-24,2017-03-20
1208,3590,8,2017-04-17,2017-05-30
746,752,8,2017-01-02,2017-01-29
739,740,8,2017-01-02,2017-01-29
905,910,8,2017-01-02,2017-04-14
2169,2185,8,2017-01-09,2017-04-07
5423,5490,8,2017-02-17,2017-05-19
4013,4080,8,2017-01-20,2017-03-03
1371,4053,8,2017-02-07,2017-04-15
756,7508,8,2017-03-27,2017-05-27
4066,4339,8,2017-01-31,2017-03-14
2941,4012,8,2017-02-07,2017-04-12
1005,2719,8,2017-02-18,2017-05-27
1865,4969,8,2017-02-27,2017-05-03
3093,5789,8,2017-03-24,2017-05-19
1677,5482,8,2017-04-20,2017-05-30
4674,4990,8,2017-02-27,2017-05-03
4399,5456,8,2017-02-22,2017-05-12
724,755,8,2017-01-02,2017-01-29
2759,2783,8,2017-01-10,2017-03-03
4025,4388,8,2017-01-31,2017-03-13
1696,4044,8,2017-02-07,2017-04-05
4969,6017,8,2017-03-10,2017-05-12
761,764,8,2017-01-02,2017-02-28
1444,4346,8,2017-02-07,2017-04-13
1884,4969,8,2017-02-27,2017-05-03
752,763,8,2017-01-02,2017-01-29
374,739,8,2017-01-04,2017-03-04
2175,2197,8,2017-01-09,2017-04-12
2674,2699,8,2017-01-10,2017-02-17
2294,5481,8,2017-03-10,2017-05-12
391,1046,8,2017-01-04,2017-04-14
2717,2789,8,2017-01-10,2017-03-03
407,928,8,2017-02-04,2017-03-13
759,760,8,2017-01-02,2017-01-29
749,758,8,2017-01-02,2017-02-23
308,313,8,2017-01-03,2017-03-28
2273,2279,8,2017-01-09,2017-04-01
4260,4294,8,2017-01-22,2017-05-13
1464,4044,8,2017-02-07,2017-04-05
7866,7868,8,2017-03-24,2017-05-19
5482,7605,8,2017-04-20,2017-05-30
724,733,8,2017-01-02,2017-01-29
2425,2500,8,2017-01-09,2017-04-17
1337,4053,8,2017-02-07,2017-04-15
5706,5771,8,2017-02-24,2017-05-03
1053,1056,8,2017-01-02,2017-01-29
774,1043,8,2017-01-04,2017-03-17
1337,2759,8,2017-02-04,2017-03-13
5482,8190,8,2017-04-20,2017-05-30
751,771,8,2017-01-02,2017-01-29
1056,1095,8,2017-01-02,2017-01-29
368,1095,8,2017-01-03,2017-01-31
1464,1482,8,2017-01-04,2017-03-03
8979,8983,8,2017-04-21,2017-05-24
4053,4399,8,2017-01-31,2017-03-13
5761,5798,8,2017-02-24,2017-05-03
6004,6027,8,2017-03-05,2017-04-28
733,759,8,2017-01-02,2017-01-29
2645,5978,8,2017-03-30,2017-04-29
226,670,8,2017-01-13,2017-03-25
4309,4373,8,2017-01-24,2017-03-10
2212,3589,8,2017-01-28,2017-04-21
5761,5769,8,2017-02-24,2017-05-03
5946,5978,8,2017-03-05,2017-04-16
1635,1646,8,2017-01-07,2017-05-19
4066,4364,8,2017-01-31,2017-03-14
746,771,8,2017-01-02,2017-01-29
751,759,8,2017-01-02,2017-01-29
3615,3637,8,2017-01-15,2017-05-08
4044,4364,8,2017-01-31,2017-03-14
724,752,8,2017-01-02,2017-01-29
2867,2959,8,2017-02-04,2017-03-13
4080,4364,8,2017-01-31,2017-03-14
3867,4546,8,2017-02-02,2017-05-14
407,975,8,2017-02-04,2017-03-13
2773,4990,8,2017-02-27,2017-05-03
4614,4700,8,2017-02-02,2017-04-02
5412,5435,8,2017-02-17,2017-04-24
1635,7662,8,2017-04-20,2017-05-30
8068,8093,8,2017-03-28,2017-05-30
4012,4016,8,2017-01-20,2017-03-03
1963,1994,8,2017-01-08,2017-04-23
5491,6017,8,2017-03-10,2017-05-12
1046,4552,8,2017-03-13,2017-05-17
721,731,8,2017-01-02,2017-02-27
3920,3963,8,2017-01-19,2017-04-30
2789,2941,8,2017-02-04,2017-03-14
4373,5491,8,2017-02-22,2017-05-09
3590,5789,8,2017-04-17,2017-05-30
1666,2511,8,2017-01-21,2017-03-03
126,2498,8,2017-01-29,2017-04-21
1482,1818,8,2017-02-02,2017-03-10
5724,5744,8,2017-02-24,2017-05-03
